Date,Cases,Hospitalizations,Deaths
2020-03-01,14,NA,0
2020-03-02,13,NA,1
2020-03-03,22,NA,0
2020-03-04,24,NA,1
2020-03-05,26,NA,0
2020-03-06,42,NA,0
2020-03-07,48,NA,0
2020-03-08,64,NA,0
2020-03-09,123,NA,0
2020-03-10,156,NA,0
2020-03-11,202,NA,0
2020-03-12,273,NA,1
2020-03-13,365,NA,0
2020-03-14,374,NA,0
2020-03-15,470,NA,1
2020-03-16,706,NA,1
2020-03-17,763,NA,0
2020-03-18,870,NA,3
2020-03-19,755,NA,5
2020-03-20,945,NA,4
2020-03-21,784,NA,9
2020-03-22,797,NA,13
2020-03-23,1233,NA,21
2020-03-24,1080,NA,29
2020-03-25,1152,NA,26
2020-03-26,1112,NA,52
2020-03-27,1247,NA,53
2020-03-28,1013,NA,70
2020-03-29,888,NA,70
2020-03-30,1508,NA,85
2020-03-31,1271,NA,116
2020-04-01,1554,NA,129
2020-04-02,1115,NA,126
2020-04-03,1211,NA,117
2020-04-04,985,NA,119
2020-04-05,882,NA,124
2020-04-06,1305,NA,143
2020-04-07,1167,NA,157
2020-04-08,1095,NA,152
2020-04-09,1030,NA,156
2020-04-10,1066,NA,166
2020-04-11,789,NA,166
2020-04-12,686,NA,170
2020-04-13,1067,NA,142
2020-04-14,943,NA,144
2020-04-15,954,NA,141
2020-04-16,940,NA,170
2020-04-17,869,NA,146
2020-04-18,712,NA,123
2020-04-19,530,NA,129
2020-04-20,938,NA,113
2020-04-21,1155,NA,124
2020-04-22,1128,NA,135
2020-04-23,973,NA,110
2020-04-24,1014,NA,115
2020-04-25,529,NA,117
2020-04-26,549,NA,108
2020-04-27,938,NA,111
2020-04-28,854,NA,104
2020-04-29,961,NA,87
2020-04-30,995,NA,104
2020-05-01,772,NA,85
2020-05-02,436,NA,62
2020-05-03,367,NA,68
2020-05-04,842,NA,85
2020-05-05,692,NA,59
2020-05-06,632,NA,57
2020-05-07,625,NA,93
2020-05-08,638,NA,60
2020-05-09,414,NA,46
2020-05-10,311,NA,47
2020-05-11,935,NA,56
2020-05-12,1593,NA,52
2020-05-13,803,NA,43
2020-05-14,587,NA,46
2020-05-15,639,NA,45
2020-05-16,346,NA,31
2020-05-17,266,NA,40
2020-05-18,546,NA,34
2020-05-19,782,NA,41
2020-05-20,555,NA,44
2020-05-21,478,NA,42
2020-05-22,474,NA,31
2020-05-23,238,NA,30
2020-05-24,169,NA,32
2020-05-25,192,NA,39
2020-05-26,464,NA,30
2020-05-27,393,NA,25
2020-05-28,352,NA,29
2020-05-29,340,NA,25
2020-05-30,214,NA,30
2020-05-31,265,NA,19
2020-06-01,302,NA,27
2020-06-02,319,NA,20
2020-06-03,262,NA,16
2020-06-04,285,NA,25
2020-06-05,301,NA,12
2020-06-06,168,NA,15
2020-06-07,137,NA,20
2020-06-08,346,NA,16
2020-06-09,240,NA,13
2020-06-10,254,NA,19
2020-06-11,246,NA,11
2020-06-12,259,NA,10
2020-06-13,167,NA,11
2020-06-14,128,NA,9
2020-06-15,245,NA,14
2020-06-16,272,NA,8
2020-06-17,328,NA,11
2020-06-18,251,NA,13
2020-06-19,319,NA,11
2020-06-20,213,NA,9
2020-06-21,240,NA,10
2020-06-22,446,NA,13
2020-06-23,477,NA,11
2020-06-24,484,NA,5
2020-06-25,424,NA,9
2020-06-26,434,NA,5
2020-06-27,324,NA,12
2020-06-28,334,NA,7
2020-06-29,568,NA,10
2020-06-30,562,NA,6
2020-07-01,649,NA,7
2020-07-02,596,NA,8
2020-07-03,514,NA,9
2020-07-04,371,NA,10
2020-07-05,464,NA,6
2020-07-06,816,NA,9
2020-07-07,747,NA,10
2020-07-08,832,NA,6
2020-07-09,708,NA,8
2020-07-10,673,NA,8
2020-07-11,490,NA,9
2020-07-12,469,NA,9
2020-07-13,879,NA,4
2020-07-14,831,NA,2
2020-07-15,874,NA,6
2020-07-16,721,NA,7
2020-07-17,626,NA,5
2020-07-18,496,NA,9
2020-07-19,435,NA,3
2020-07-20,849,NA,9
2020-07-21,743,NA,6
2020-07-22,819,NA,11
2020-07-23,722,NA,5
2020-07-24,701,NA,5
2020-07-25,514,NA,4
2020-07-26,435,NA,14
2020-07-27,781,NA,13
2020-07-28,774,NA,6
2020-07-29,779,NA,6
2020-07-30,718,NA,14
2020-07-31,797,NA,9
2020-08-01,601,NA,10
2020-08-02,500,NA,10
2020-08-03,798,NA,9
2020-08-04,861,32,6
2020-08-05,778,41,4
2020-08-06,737,30,5
2020-08-07,896,49,13
2020-08-08,596,43,10
2020-08-09,549,44,11
2020-08-10,908,54,3
2020-08-11,814,74,16
2020-08-12,962,63,10
2020-08-13,736,60,12
2020-08-14,735,64,11
2020-08-15,559,71,10
2020-08-16,508,69,8
2020-08-17,831,61,11
2020-08-18,798,60,10
2020-08-19,735,57,14
2020-08-20,931,51,11
2020-08-21,739,66,7
2020-08-22,561,49,6
2020-08-23,595,67,12
2020-08-24,839,38,8
2020-08-25,792,67,13
2020-08-26,681,63,10
2020-08-27,711,63,9
2020-08-28,734,59,11
2020-08-29,618,61,4
2020-08-30,539,55,8
2020-08-31,813,58,11
2020-09-01,914,60,13
2020-09-02,871,51,10
2020-09-03,793,51,11
2020-09-04,717,50,5
2020-09-05,563,65,8
2020-09-06,487,52,10
2020-09-07,585,51,8
2020-09-08,904,48,9
2020-09-09,932,58,5
2020-09-10,764,64,7
2020-09-11,849,53,8
2020-09-12,637,50,5
2020-09-13,640,46,8
2020-09-14,939,37,9
2020-09-15,907,70,10
2020-09-16,899,40,9
2020-09-17,809,47,14
2020-09-18,858,30,14
2020-09-19,592,33,8
2020-09-20,666,24,5
2020-09-21,1121,49,7
2020-09-22,1049,42,7
2020-09-23,1088,36,14
2020-09-24,993,32,11
2020-09-25,1006,53,12
2020-09-26,856,38,16
2020-09-27,825,46,12
2020-09-28,1252,48,9
2020-09-29,1069,77,15
2020-09-30,1098,64,10
2020-10-01,1082,64,16
2020-10-02,1094,64,11
2020-10-03,961,79,26
2020-10-04,905,60,14
2020-10-05,1618,84,13
2020-10-06,1544,113,14
2020-10-07,1621,87,13
2020-10-08,1768,87,13
2020-10-09,1579,81,18
2020-10-10,1339,80,19
2020-10-11,1232,90,8
2020-10-12,2084,80,23
2020-10-13,2012,108,21
2020-10-14,2109,103,20
2020-10-15,1858,116,17
2020-10-16,1849,128,22
2020-10-17,1633,118,26
2020-10-18,1525,94,24
2020-10-19,2813,93,22
2020-10-20,2670,134,29
2020-10-21,2752,139,22
2020-10-22,2830,161,24
2020-10-23,2803,159,30
2020-10-24,2400,174,28
2020-10-25,2195,163,23
2020-10-26,4200,180,24
2020-10-27,4069,233,24
2020-10-28,4212,257,33
2020-10-29,3911,264,24
2020-10-30,4102,280,36
2020-10-31,3138,275,36
2020-11-01,3413,255,34
2020-11-02,6634,232,37
2020-11-03,6237,291,35
2020-11-04,7004,291,47
2020-11-05,6802,331,52
2020-11-06,6628,329,59
2020-11-07,5131,389,60
2020-11-08,4695,337,55
2020-11-09,9228,341,60
2020-11-10,9774,386,68
2020-11-11,7925,378,69
2020-11-12,7969,358,59
2020-11-13,7419,417,69
2020-11-14,5230,405,63
2020-11-15,4248,344,88
2020-11-16,9281,348,69
2020-11-17,8301,452,96
2020-11-18,7628,475,97
2020-11-19,7147,475,93
2020-11-20,7012,490,85
2020-11-21,4700,488,114
2020-11-22,3972,393,97
2020-11-23,8918,515,119
2020-11-24,7535,626,111
2020-11-25,6844,541,95
2020-11-26,2693,554,89
2020-11-27,5967,509,116
2020-11-28,4580,546,105
2020-11-29,4136,495,109
2020-11-30,8503,419,122
2020-12-01,7509,527,130
2020-12-02,6787,496,113
2020-12-03,5942,474,109
2020-12-04,5425,455,139
2020-12-05,3888,465,145
2020-12-06,3232,374,126
